Reporting Start,Reporting End,Campaign Name,Campaign Type,Ad Set Name,Ad Name,Delivery,Attribution Setting,Result Type,Spend (BRL),Impressions,Link Clicks,Conversions,Reach,Frequency
2026-01-15,2026-01-15,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-34_Interests_Finance,Nu_Brand_Awareness_Hero_Video_15s,Learning (CBO),1-day click,Account Opening,517.80,151220,149,1,110391,1.37
2026-01-25,2026-01-25,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-24_Lookalike_1pct,Nu_Brand_Awareness_Carousel_ProductShowcase,Active,1-day click,Account Opening,1811.55,229831,52,3,147092,1.56
2026-01-13,2026-01-13,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-24_Lookalike_1pct,Nu_Brand_TopOfMind_Video_6s_Bumper,Active,1-day click,Account Opening,1075.10,89800,102,2,75432,1.19
2026-01-16,2026-01-16,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-24_Lookalike_1pct,Nu_Brand_TopOfMind_Video_6s_Bumper,Active,1-day click,Account Opening,3936.38,271241,136,7,170882,1.59
2026-01-19,2026-01-19,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-24_Lookalike_1pct,Nu_Brand_TopOfMind_Video_6s_Bumper,Active,1-day click,Account Opening,4970.24,271002,198,8,170731,1.59
2026-01-22,2026-01-22,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-24_Lookalike_1pct,Nu_Brand_TopOfMind_Video_6s_Bumper,Not Delivering,1-day click,Account Opening,1939.85,127858,79,5,97172,1.32
2026-01-25,2026-01-25,Nubank | Brand Awareness | Reach | Q1,Branding,BR_18-24_Lookalike_1pct,Nu_Brand_TopOfMind_Video_6s_Bumper,Active,1-day click,Account Opening,4979.76,287793,193,8,172676,1.67
2026-01-15,2026-01-15,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_25-54_VideoEngagers,Nu_Brand_Consideration_Story_CustomerStory_01,Learning (CBO),1-day click,Account Opening,387.61,216817,109,1,166949,1.30
2026-01-18,2026-01-18,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_25-54_VideoEngagers,Nu_Brand_Consideration_Story_CustomerStory_01,Learning,1-day click,Account Opening,1854.60,133572,118,3,92165,1.45
2026-01-21,2026-01-21,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_25-54_VideoEngagers,Nu_Brand_Consideration_Story_CustomerStory_01,Learning,1-day click,Account Opening,383.95,391061,157,0,269832,1.45
2026-01-24,2026-01-24,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_25-54_VideoEngagers,Nu_Brand_Consideration_Story_CustomerStory_01,Learning,1-day click,Account Opening,769.70,381935,37,2,313187,1.22
2026-01-27,2026-01-27,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_25-54_VideoEngagers,Nu_Brand_Consideration_Story_CustomerStory_01,Learning Limited,1-day click,Account Opening,462.76,352869,40,1,271709,1.30
2026-01-30,2026-01-30,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_25-54_VideoEngagers,Nu_Brand_Consideration_Story_CustomerStory_01,Learning (CBO),1-day click,Account Opening,422.59,88968,183,0,70285,1.27
2026-02-02,2026-02-02,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_25-54_VideoEngagers,Nu_Brand_Consideration_Story_CustomerStory_01,Learning,1-day click,Account Opening,202.52,236045,164,0,177034,1.33
2026-02-05,2026-02-05,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_25-54_VideoEngagers,Nu_Brand_Consideration_Story_CustomerStory_01,Learning (CBO),1-day click,Account Opening,394.78,158988,64,0,104932,1.52
2026-02-08,2026-02-08,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_25-54_VideoEngagers,Nu_Brand_Consideration_Story_CustomerStory_01,Learning Limited,1-day click,Account Opening,922.14,174242,197,2,135909,1.28
2026-02-11,2026-02-11,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_25-54_VideoEngagers,Nu_Brand_Consideration_Story_CustomerStory_01,Learning (CBO),1-day click,Account Opening,990.92,317490,157,2,263517,1.20
2026-01-15,2026-01-15,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_25-54_VideoEngagers,Nu_Brand_Reach_Reel_BankWithoutBureaucracy,Learning (CBO),1-day click,Account Opening,292.88,313038,152,0,197214,1.59
2026-01-18,2026-01-18,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_25-54_VideoEngagers,Nu_Brand_Reach_Reel_BankWithoutBureaucracy,Learning (CBO),1-day click,Account Opening,444.38,164040,118,1,121390,1.35
2026-01-21,2026-01-21,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_25-54_VideoEngagers,Nu_Brand_Reach_Reel_BankWithoutBureaucracy,Learning (CBO),1-day click,Account Opening,437.73,192699,126,1,154159,1.25
2026-01-24,2026-01-24,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_25-54_VideoEngagers,Nu_Brand_Reach_Reel_BankWithoutBureaucracy,Learning,1-day click,Account Opening,586.31,189572,186,1,117535,1.61
2026-01-27,2026-01-27,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_25-54_VideoEngagers,Nu_Brand_Reach_Reel_BankWithoutBureaucracy,Learning,1-day click,Account Opening,1229.58,139977,55,2,118980,1.18
2026-01-30,2026-01-30,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_25-54_VideoEngagers,Nu_Brand_Reach_Reel_BankWithoutBureaucracy,Learning (CBO),1-day click,Account Opening,1130.80,285089,49,2,185308,1.54
2026-02-02,2026-02-02,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_25-54_VideoEngagers,Nu_Brand_Reach_Reel_BankWithoutBureaucracy,Learning,1-day click,Account Opening,590.81,378413,92,0,287594,1.32
2026-02-05,2026-02-05,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_25-54_VideoEngagers,Nu_Brand_Reach_Reel_BankWithoutBureaucracy,Learning Limited,1-day click,Account Opening,935.58,111216,141,2,85636,1.30
2026-02-08,2026-02-08,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_25-54_VideoEngagers,Nu_Brand_Reach_Reel_BankWithoutBureaucracy,Learning,1-day click,Account Opening,648.12,389592,113,1,261027,1.49
2026-02-11,2026-02-11,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_25-54_VideoEngagers,Nu_Brand_Reach_Reel_BankWithoutBureaucracy,Learning Limited,1-day click,Account Opening,217.03,103875,128,0,70635,1.47
2026-01-15,2026-01-15,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_25-54_VideoEngagers,Nu_Brand_Awareness_StaticBanner_PurpleGold,Learning (CBO),1-day click,Account Opening,1400.76,410531,127,3,316109,1.30
2026-01-18,2026-01-18,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_25-54_VideoEngagers,Nu_Brand_Awareness_StaticBanner_PurpleGold,Learning Limited,1-day click,Account Opening,564.73,377545,184,0,256731,1.47
2026-01-21,2026-01-21,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_25-54_VideoEngagers,Nu_Brand_Awareness_StaticBanner_PurpleGold,Learning Limited,1-day click,Account Opening,1482.54,253946,97,3,165065,1.54
2026-01-24,2026-01-24,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_25-54_VideoEngagers,Nu_Brand_Awareness_StaticBanner_PurpleGold,Learning Limited,1-day click,Account Opening,570.15,250985,104,0,195768,1.28
2026-01-27,2026-01-27,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_25-54_VideoEngagers,Nu_Brand_Awareness_StaticBanner_PurpleGold,Learning (CBO),1-day click,Account Opening,1081.54,337362,75,2,249648,1.35
2026-01-30,2026-01-30,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_25-54_VideoEngagers,Nu_Brand_Awareness_StaticBanner_PurpleGold,Learning Limited,1-day click,Account Opening,284.74,293924,97,0,238078,1.23
2026-02-02,2026-02-02,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_25-54_VideoEngagers,Nu_Brand_Awareness_StaticBanner_PurpleGold,Learning (CBO),1-day click,Account Opening,367.95,140959,195,0,101490,1.39
2026-02-05,2026-02-05,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_25-54_VideoEngagers,Nu_Brand_Awareness_StaticBanner_PurpleGold,Learning,1-day click,Account Opening,515.11,103936,127,1,81070,1.28
2026-02-08,2026-02-08,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_25-54_VideoEngagers,Nu_Brand_Awareness_StaticBanner_PurpleGold,Learning (CBO),1-day click,Account Opening,969.66,395987,75,2,241552,1.64
2026-02-11,2026-02-11,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_25-54_VideoEngagers,Nu_Brand_Awareness_StaticBanner_PurpleGold,Learning Limited,1-day click,Account Opening,1597.35,330536,100,3,231375,1.43
2026-01-13,2026-01-13,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_18-34_PageEngagers,Nu_Brand_TopOfMind_Video_15s_AppDemo,Learning (CBO),1-day click,Account Opening,645.35,109075,144,1,70899,1.54
2026-01-16,2026-01-16,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_18-34_PageEngagers,Nu_Brand_TopOfMind_Video_15s_AppDemo,Learning Limited,1-day click,Account Opening,179.78,377391,120,0,237756,1.59
2026-01-19,2026-01-19,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_18-34_PageEngagers,Nu_Brand_TopOfMind_Video_15s_AppDemo,Learning (CBO),1-day click,Account Opening,220.47,231094,176,0,196430,1.18
2026-01-22,2026-01-22,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_18-34_PageEngagers,Nu_Brand_TopOfMind_Video_15s_AppDemo,Learning (CBO),1-day click,Account Opening,294.84,354001,121,0,240721,1.47
2026-01-25,2026-01-25,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_18-34_PageEngagers,Nu_Brand_TopOfMind_Video_15s_AppDemo,Learning Limited,1-day click,Account Opening,208.12,422578,48,0,266224,1.59
2026-01-28,2026-01-28,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_18-34_PageEngagers,Nu_Brand_TopOfMind_Video_15s_AppDemo,Learning (CBO),1-day click,Account Opening,194.31,342605,100,0,284362,1.20
2026-01-31,2026-01-31,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_18-34_PageEngagers,Nu_Brand_TopOfMind_Video_15s_AppDemo,Learning Limited,1-day click,Account Opening,1036.50,436147,143,2,353279,1.23
2026-01-13,2026-01-13,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_18-34_PageEngagers,Nu_Brand_Consideration_Carousel_Benefits,Learning Limited,1-day click,Account Opening,1206.24,388783,154,2,295475,1.32
2026-01-16,2026-01-16,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_18-34_PageEngagers,Nu_Brand_Consideration_Carousel_Benefits,Learning,1-day click,Account Opening,1636.80,424984,100,3,331488,1.28
2026-01-19,2026-01-19,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_18-34_PageEngagers,Nu_Brand_Consideration_Carousel_Benefits,Learning Limited,1-day click,Account Opening,364.73,307606,63,0,203020,1.52
2026-01-22,2026-01-22,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_18-34_PageEngagers,Nu_Brand_Consideration_Carousel_Benefits,Learning,1-day click,Account Opening,1179.74,291115,65,2,241625,1.20
2026-01-25,2026-01-25,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_18-34_PageEngagers,Nu_Brand_Consideration_Carousel_Benefits,Learning (CBO),1-day click,Account Opening,321.98,434386,37,0,343165,1.27
2026-01-28,2026-01-28,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_18-34_PageEngagers,Nu_Brand_Consideration_Carousel_Benefits,Learning (CBO),1-day click,Account Opening,173.27,310490,105,0,232868,1.33
2026-01-31,2026-01-31,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_18-34_PageEngagers,Nu_Brand_Consideration_Carousel_Benefits,Learning Limited,1-day click,Account Opening,638.22,179329,43,1,118357,1.52
2026-01-13,2026-01-13,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_18-34_PageEngagers,Nu_Brand_Reach_Story_InvestmentsTease,Learning Limited,1-day click,Account Opening,1154.86,278539,127,2,178265,1.56
2026-01-16,2026-01-16,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_18-34_PageEngagers,Nu_Brand_Reach_Story_InvestmentsTease,Learning (CBO),1-day click,Account Opening,1137.88,217439,64,2,143510,1.52
2026-01-19,2026-01-19,Nubank | Brand Consideration | Video Views | Q1,Branding,BR_18-34_PageEngagers,Nu_Brand_Reach_Story_InvestmentsTease,Learning,1-day click,Account Opening,1183.30,121744,100,2,103482,1.18
